타임스탬프,교복 단어,성별,학년,교복 착용,입는 이유,안 입는 이유,디자인이 별로인 것,교복 필요성,필요 이유,불필요 이유,입기 싫은 요일,사복 착용
2023. 10. 26 오후 2:08:13,학생,남,2학년,네,학교에서 입으라고 합니다,불편합니다,바지,필요하다고 생각합니다,늙으면 입을 수 없어서,,화,아니오
2023. 10. 26 오후 2:13:04,불편함,남,3학년,아니오,,사복이 편해요,조끼,필요하지 않다고 생각합니다,,입는 목적을 잘 모르겠은,금,네
2023. 10. 26 오후 2:15:17,불편함,남,3학년,아니오,,불편합니다,,필요하다고 생각합니다,소외되는 학생이 있을 수 있으니까,,화,네
2023. 10. 26 오후 2:15:20,셔츠,남,3학년,네,마땅히 입을 옷이 없습니다,,,필요하다고 생각합니다,학생 때만 입을 수 있으니까,,금,네
2023. 10. 26 오후 2:15:45,옷안사도돼서개꿀,남,3학년,아니오,,귀찮습니다,마이,필요하다고 생각합니다,"좀 심오하게 가자면, 집안사정이 그리 좋지 않은 아이들은 맨날 같은 옷만 입는 경우가 생길 수 있겠죠. 이런 아이들에겐 주변 친구들 눈치도 안보이고 교복이 오히려 좋을 거 같아서요.",,금,네
2023. 10. 26 오후 2:16:17,학생,남,3학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,질서 유지,,월,아니오
2023. 10. 26 오후 2:19:03,뭐 입을지 고민을 안해도 되는 옷,남,3학년,네,마땅히 입을 옷이 없습니다,,,필요하다고 생각합니다,필요는 하겠지만 (여러 행사에 의해) 어느 정도 자유를 둬도 괜찮다고 생각한다.,,없다,아니오
2023. 10. 26 오후 2:20:06,학생,남,3학년,네,마땅히 입을 옷이 없습니다,,조끼,필요하다고 생각합니다,어른이 되어서는 입을 수 없으니까,,금,아니오
2023. 10. 26 오후 2:20:50,깔끔,남,2학년,네,학교에서 입으라고 합니다,불편합니다,,필요하다고 생각합니다,학생의 신분이기 때문에,불편하기 때문에,화,아니오
2023. 10. 26 오후 2:22:28,학생들의 전투복(?),여,3학년,네,편합니다,,,필요하다고 생각합니다,"학생들간의 가정환경(부모님재력)을 함부로 판단하지 않아도 되고, 학생때만 누릴수있는 특혜라고 생각하기 때문에",,월,아니오
2023. 10. 26 오후 2:27:09,학교,남,3학년,아니오,,사복이 편해요,마이,필요하지 않다고 생각합니다,,,금,아니오
2023. 10. 26 오후 2:34:02,학교,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학교를 다니는 학생이니까,,없다,아니오
2023. 10. 26 오후 2:34:47,단정함,남,3학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,모든 같은 옷을 입고있기때문에 옷에대한 걱정이 필요없지고 학생이라는것을 알 수 있기 때문에,,금,아니오
2023. 10. 26 오후 2:35:38,겁나 불편하고 실용성읎다,남,3학년,아니오,,불편합니다,조끼,필요하다고 생각합니다,걍,,없다,아니오
2023. 10. 26 오후 2:40:18,학생의,남,3학년,네,디자인이 예쁘죠,,,필요하다고 생각합니다,,,금,아니오
2023. 10. 26 오후 2:44:47,청춘,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학생,,금,아니오
2023. 10. 26 오후 2:46:06,불편함,남,2학년,네,학교에서 입으라고 합니다,,바지,필요하지 않다고 생각합니다,,,금,아니오
2023. 10. 26 오후 2:46:07,고정관념,남,2학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,딱히 입을 필요가 없어보여서,월,네
2023. 10. 26 오후 2:46:10,학교,남,2학년,네,마땅히 입을 옷이 없습니다,,마이,필요하다고 생각합니다,학교에 갈때는 교복이 디폴트라고 생각합니다,,없다,아니오
2023. 10. 26 오후 2:47:50,불편함,남,2학년,아니오,,불편합니다,바지,필요하지 않다고 생각합니다,,불편함,금,아니오
2023. 10. 26 오후 2:47:51,불편,남,2학년,네,학교에서 입으라고 합니다,,바지,필요하지 않다고 생각합니다,,딱히 이유를 모르겠다,월,아니오
2023. 10. 26 오후 2:47:56,불편함,남,2학년,네,학교에서 입으라고 합니다,,바지,필요하지 않다고 생각합니다,,일제강점기에 남은 몇 안되는 찌꺼기,없다,네
2023. 10. 26 오후 2:48:08,"일제강점기, 칼을 찬 교사",남,2학년,네,학교에서 입으라고 합니다,,바지,필요하지 않다고 생각합니다,,일제강점기 시대 민족말살 정책의 일환으로써 시작된 교복을 받아들일수 없음,없다,아니오
2023. 10. 26 오후 2:50:39,불편,남,2학년,아니오,,불편합니다,,필요하지 않다고 생각합니다,,,월,네
2023. 10. 26 오후 2:51:56,불편함,남,2학년,네,학교에서 입으라고 합니다,사복이 편해요,마이,필요하지 않다고 생각합니다,만약 필요하다면 각 학교간 학생 구별을 위해 필요하다 생각됩니다,갑갑하고 불편한 교복이 굳이 필요하다 생각되진 않습니다,금,아니오
2023. 10. 26 오후 2:52:21,.,남,2학년,네,학교에서 입으라고 합니다,,와이셔츠,필요하다고 생각합니다,학생과 외부인 구분,,없다,네
2023. 10. 26 오후 2:52:30,학교,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학교를 다녀서,,금,아니오
2023. 10. 26 오후 2:53:56,불편함,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,없어진다면 당장은 좋을지 몰라도 지금 사회에 부작용이 나타날것 같아서.,,금,아니오
2023. 10. 26 오후 2:54:00,학교,남,2학년,네,학교에서 입으라고 합니다,,마이,필요하지 않다고 생각합니다,,불편합니다,금,아니오
2023. 10. 26 오후 2:54:47,없음,남,2학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,비싸요 너무 비싸,월,네
2023. 10. 26 오후 2:55:02,예쁜쓰레기? 예쁘지만 입기싫은것,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학생의 신분을 가장 잘 나태낼 수 있는것이 교복이라고 생각합니다.,,금,아니오
2023. 10. 26 오후 2:55:36,사복,남,2학년,네,마땅히 입을 옷이 없습니다,,,필요하다고 생각합니다,학교에 교복이 필요한게 이유가 있을까요,,금,아니오
2023. 10. 26 오후 2:56:13,옷,남,2학년,네,학교에서 입으라고 합니다,,,필요하지 않다고 생각합니다,,돈낭??비,금,아니오
2023. 10. 26 오후 2:56:15,옷,남,2학년,네,학교에서 입으라고 합니다,,마이,필요하지 않다고 생각합니다,,,금,아니오
2023. 10. 26 오후 2:56:45,학생,남,2학년,네,마땅히 입을 옷이 없습니다,,조끼,필요하다고 생각합니다,학생이니까,,금,아니오
2023. 10. 26 오후 2:56:50,학생,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학생이라서,,금,아니오
2023. 10. 26 오후 2:57:04,"중,고등학생",남,2학년,네,,,,필요하다고 생각합니다,,,금,아니오
2023. 10. 26 오후 2:59:39,학생,남,2학년,네,편합니다,,와이셔츠,필요하다고 생각합니다,,,금,아니오
2023. 10. 26 오후 2:59:48,없어야.하는 존재 > _<,남,3학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,"비싸고,또 작으면 사야한다 그리고 불편 함",월,아니오
2023. 10. 26 오후 3:05:45,불편,남,3학년,네,학교에서 입으라고 합니다,,조끼,필요하다고 생각합니다,,,금,아니오
2023. 10. 26 오후 3:09:54,교복,남,3학년,네,학교에서 입으라고 합니다,,,필요하지 않다고 생각합니다,,굳이 뭐,수,아니오
2023. 10. 26 오후 3:18:40,단정,남,2학년,네,학교에서 입으라고 합니다,,마이,필요하다고 생각합니다,구분을 위해,,화,네
2023. 10. 26 오후 3:19:10,학생,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,학생과 성인을 구분하기 위해서,,없다,아니오
2023. 10. 26 오후 3:19:26,단정,남,2학년,네,디자인이 예쁘죠,,,필요하다고 생각합니다,학교의 상징성,,없다,아니오
2023. 10. 26 오후 3:19:53,답답하다,여,2학년,네,학교에서 입으라고 합니다,,,필요하지 않다고 생각합니다,,사복을 입고싶어서요,금,네
2023. 10. 26 오후 3:20:44,없습니다,남,2학년,아니오,,사복이 편해요,바지,필요하지 않다고 생각합니다,,모름,없다,네
2023. 10. 26 오후 3:29:14,학교,남,2학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,교복을 입지 않으면 우리학교 학생인지 아닌지 모르니까 필요하다 생각합니다,,없다,아니오
2023. 10. 26 오후 3:46:08,학교,여,1학년,네,학교에서 입으라고 합니다,,치마,필요하다고 생각합니다,,,없다,아니오
2023. 10. 26 오후 3:46:53,깔끔,여,2학년,네,마땅히 입을 옷이 없습니다,,마이,필요하다고 생각합니다,타학교 학생들과 구분하기 쉬워야함,,금,아니오
2023. 10. 26 오후 3:47:31,학교,여,2학년,아니오,,사복이 편해요,,필요하다고 생각합니다,,,목,아니오
2023. 10. 26 오후 3:47:32,학교옷,남,1학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,대충 입기 좋다.,,월,아니오
2023. 10. 26 오후 3:47:56,이쁨,남,1학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,있어서 나쁠건 없기 때문,,없다,아니오
2023. 10. 26 오후 3:48:03,학생,여,2학년,아니오,,사복이 편해요,,필요하다고 생각합니다,학생들을 알아 볼 수 있기 때문에,,금,네
2023. 10. 26 오후 3:48:05,자유억압,여,2학년,아니오,,사복이 편해요,,필요하다고 생각합니다,그래도..고등학교만의 묘미니까 뭐...,,금,아니오
2023. 10. 26 오후 3:48:50,예쁘다,남,1학년,네,학교에서 입으라고 합니다,,,필요하다고 생각합니다,그래야지 학생과 외부인을 분리할수있기때문이다,,금,아니오
2023. 10. 26 오후 3:49:01,학교,여,1학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,학생한테 개인적인 권리가 있다 생각함,월,아니오
2023. 10. 26 오후 3:49:05,불편흠,남,1학년,네,학교에서 입으라고 합니다,,,필요하지 않다고 생각합니다,,불편하고 잘 안 입는 애들이 많음,목,아니오
2023. 10. 26 오후 3:49:08,생각안함,여,1학년,네,학교에서 입으라고 합니다,,와이셔츠,필요하다고 생각합니다,그냥,,금,아니오
2023. 10. 26 오후 3:49:33,괜찮다,여,1학년,네,디자인이 예쁘죠,,,필요하다고 생각합니다,학생이라고 구분하기 쉬워지기 때문에,,없다,아니오
2023. 10. 26 오후 3:50:14,불편함,남,2학년,아니오,,기타,,필요하지 않다고 생각합니다,,이미 교복자유화(사복등교)가 된 학교가 많으며 학생다움이라는 핑계로 불편한 교복을 강제화 하는 것 보다는 실사용이 편한 교복 또는 교복자유화(사복등교)가 좋지 않을까 생각합니다,월,아니오
2023. 10. 26 오후 3:50:16,더워 갑갑해,남,1학년,아니오,,불편합니다,,필요하지 않다고 생각합니다,,답답해서,월,아니오
2023. 10. 26 오후 3:50:19,회사원 조끼,여,2학년,아니오,,사복이 편해요,,필요하지 않다고 생각합니다,,,월,네
